time
4.236
4.91
5.563
6.248
6.891
7.77
8.55
9.284
10.026
10.689
11.349
12.158
12.869
13.591
14.348
15.078
15.759
17.346
18.068
18.811
19.581
20.362
21.067
21.802
22.449
23.18
23.891
24.616
25.395
26.142
26.85
27.54
28.356
29.16
29.852
