time
5.61
6.38
7.07
7.77
8.48
9.20
9.88
10.69
11.40
12.13
12.86
13.60
14.31
15.07
15.78
16.56
17.35
18.10
18.84
19.59
20.28
20.98
21.64
22.44
23.21
23.93
24.65
25.37
26.14
26.90
27.66
28.35
29.19
29.94
30.70
31.42
32.15
32.87
33.59
34.38
35.14
35.87
36.63
37.36
38.06
38.84
39.60
40.35
41.15
41.89
42.64
43.35
44.10
44.85
45.55
46.33
47.05
47.80
48.55
49.31
50.09
50.86
51.63
52.39
53.18
53.95
54.77
55.50
56.22
56.99
57.74
58.48
59.25
59.98
60.78
61.55
62.30
63.05
63.77
64.52
65.33
66.12
66.97
67.63
68.42
69.23
69.92
70.69
71.45
72.20
72.98
73.77
74.54
75.29
76.11
76.86
77.64
78.43
79.12
79.90
80.67
81.44
82.14
82.91
83.68
84.47
85.20
85.97
86.70
87.45
88.19
88.95
89.75
90.56
91.30
92.03
92.84
93.56
94.29
95.06
95.87
96.61
97.34
98.13
98.92
99.69
100.42
101.22
101.95
102.72
103.51
104.23
105.07
105.84
106.52
107.31
108.08
108.80
109.56
110.31
111.06
111.82
112.58
113.33
114.08
114.86
115.64
116.43
117.18
117.94
118.62
119.39
120.18
120.94
121.73
122.47
123.26
124.02
124.74
125.48
126.33
127.10
127.82
128.56
129.34
130.07
130.86
131.63
132.35
133.10
133.86
134.61
135.34
136.08
136.84
137.57
138.41
139.14
139.89
140.63
141.41
142.18
142.98
143.67
144.46
145.29
146.06
146.81
147.58
148.35
149.09
