time
5.59
6.36
7.08
7.82
8.49
9.19
9.91
10.70
11.41
12.13
12.87
13.58
14.34
15.09
15.83
16.56
17.30
18.08
18.80
19.54
20.26
20.97
21.65
22.39
23.13
23.88
24.61
25.27
25.97
26.87
27.63
28.36
29.18
29.91
30.68
31.36
32.11
32.84
33.62
34.38
35.12
35.88
36.65
37.37
38.10
38.85
39.60
40.33
41.12
41.89
42.59
43.36
44.12
44.84
45.56
46.33
47.13
47.86
48.61
49.31
50.11
50.86
51.67
52.44
53.20
53.96
54.76
55.49
56.23
57.02
57.74
58.48
59.25
59.97
60.74
61.50
62.26
63.07
63.79
64.55
65.40
66.17
66.96
67.70
68.44
69.23
69.98
70.70
71.49
72.23
73.02
73.81
74.56
75.33
76.07
76.84
77.65
78.44
79.17
79.92
80.62
81.44
82.13
82.87
83.68
84.46
85.21
85.93
86.76
87.48
88.22
88.98
89.81
90.57
91.32
92.04
92.79
93.57
94.29
95.03
95.79
96.58
97.33
98.09
98.89
99.66
100.43
101.20
101.94
102.72
103.52
104.30
105.07
105.84
106.56
107.32
108.05
108.81
109.57
110.31
111.08
111.81
112.54
113.24
114.02
114.81
115.61
116.35
117.14
117.87
118.60
119.38
120.15
120.93
121.70
122.45
123.24
124.01
124.80
125.54
126.31
127.07
127.83
128.58
129.35
130.15
130.87
131.61
132.38
133.13
133.87
134.59
135.29
136.11
136.86
137.64
138.41
139.16
139.94
140.66
141.45
142.17
142.98
143.65
144.43
145.23
146.06
146.84
147.67
148.37
149.12
